NTopics,Coherence,Perplexity
2,0.2692206481565349,-9.231638919433802
3,0.22909108215232,-9.400718479640158
4,0.22530282063263168,-9.564432264274156
5,0.26714799854511123,-9.724887238845312
6,0.27865571733576555,-9.889176810595524
7,0.298631623515974,-10.065940869032847
8,0.33627185360412404,-10.254164132481797
9,0.3379088144092389,-10.458223996675423
10,0.3646275554016828,-10.71377489825443
11,0.37233323483103614,-11.074308474626472
12,0.3971376354112239,-11.62226847044391
13,0.3937381979114691,-12.522862165516889
14,0.3864912972815956,-13.99554067846142
15,0.3857606026828213,-16.238129269218437
16,0.39928672177299274,-18.833172343180287
17,0.4115404350520561,-21.50607738084812
18,0.42954285361606115,-23.64582234655678
19,0.3862167972318559,-25.22573114321638
20,0.39206813128272483,-26.100847933174425
21,0.40261432387750823,-26.91269248230443
22,0.3942575928107122,-27.903848779506564
23,0.3924217183100129,-28.460802822063176
24,0.3831434282983286,-29.353218984274317
25,0.38836693077125134,-30.157198289117908
